date,pipeline_burst,fuel_shortage,port_delay,strike_event,global_supply_disruption,rainfall_mm,transport_cost_index,exchange_rate_usd_ksh,inflation_rate
2019-01-01,0,0,0,0,0,47.293784749764924,82.11454662597467,129.40100475685736,8.439565903334586
2019-01-02,0,0,0,0,0,64.83873918722858,86.06522025866042,113.77285949654154,9.016708987388027
2019-01-03,0,1,0,0,0,97.24846097922915,116.98297287581022,106.20185717569638,4.756706754100815
2019-01-04,0,0,0,0,0,72.76402801927307,105.48644546135704,122.65760052308357,7.379827941840222
2019-01-05,0,0,0,0,0,54.24596396449099,117.44844632711167,134.12163846503503,6.868542111295135
2019-01-06,0,1,0,0,0,100.20580525152778,116.29463131654528,122.02219273925809,6.989226986771824
2019-01-07,0,0,0,0,0,76.30062427625298,68.65675460323939,133.95765151525123,5.094693541201058
2019-01-08,0,0,0,0,0,27.99370510707956,82.06068489916618,131.06476304504827,3.3468884817415345
2019-01-09,0,0,0,0,0,109.40225700332057,104.11713702366714,128.60934401530793,5.489167399501884
2019-01-10,0,0,0,0,0,69.27096776150535,74.5436502858916,142.64963559771658,5.209083372561198
2019-01-11,0,0,0,1,1,43.58969693390415,84.18542436093881,124.03963450152469,7.70644613509371
2019-01-12,0,0,0,0,0,10.624527537578416,121.40451106615615,133.80655421360277,7.739026232632848
2019-01-13,0,0,0,0,0,8.672708598059998,91.87651185083672,111.96913238254878,7.625184460307062
2019-01-14,0,0,0,0,0,101.00404731199811,110.65447867931552,130.9877943755106,4.2065386535437455
2019-01-15,0,0,0,0,0,102.18995755911352,99.57747594771492,127.42783963155304,4.760883251056892
2019-01-16,0,0,0,0,1,52.55852206199721,89.80095618558074,118.177535980116,5.7666546298435435
2019-01-17,0,0,0,0,0,3.107325279264593,75.036860909492,133.98498778728407,7.046286025131887
2019-01-18,0,0,0,0,0,17.390742390481826,103.49953159846567,122.61048976098127,6.329784909343944
2019-01-19,0,0,0,0,0,1.2869494385126643,121.81908308603295,147.32184577177566,7.621278199129578
2019-01-20,0,1,0,0,0,0.19666220258718425,90.22708780351368,105.66183494655073,8.95094063347502
2019-01-21,0,0,0,0,0,110.80407106810718,101.0289753134329,132.48258541761683,5.001412384747337
2019-01-22,0,0,0,0,0,111.79753725243421,77.20316794972013,130.42697274458445,5.07745900169905
2019-01-23,0,0,0,0,0,16.37458539303291,89.9173721312493,127.19136244425036,7.270719972184434
2019-01-24,0,0,0,0,0,49.73795072307202,105.11322489192341,124.70764299476988,6.835938727381683
2019-01-25,0,0,0,0,0,11.456115202045915,111.15573730599719,130.68628199932755,8.486727123013829
2019-01-26,0,0,0,0,0,49.5428586049974,108.3392312493728,140.6219130762719,7.0151533195561235
2019-01-27,0,0,0,0,0,99.17911650107288,69.52673033879145,113.27814490923868,10.481042459674786
2019-01-28,0,0,0,0,0,82.36157152409045,93.14597741297885,121.94013103189816,3.8242504622772375
2019-01-29,0,0,0,0,0,74.25988296491862,85.49078334558065,119.49682865677859,8.680433719928162
2019-01-30,0,0,0,0,0,44.17460788211406,95.36457586274435,119.02707730277307,7.398652392210319
2019-01-31,0,0,0,0,0,87.85901347989093,98.33212846768983,133.42749005435425,4.193997865944921
2019-02-01,0,0,0,0,0,69.40006239749994,115.99527836792856,135.8933728473385,2.8640814252944846
2019-02-02,0,0,0,0,0,62.11746743947158,104.42855555040289,140.65102868732038,4.749961866838718
2019-02-03,0,0,0,0,0,46.53771985400643,121.26747959330626,136.05097832629585,9.418175422945517
2019-02-04,0,0,0,0,0,59.55118818543998,89.5073452835923,136.86141924241767,9.19046311185675
2019-02-05,0,0,0,0,0,58.647547336079796,78.74385163117267,115.88191779258678,6.742695029989273
2019-02-06,0,0,0,0,0,33.757050647772175,121.82863961230697,144.83563241625959,6.275454033014773
2019-02-07,0,0,0,0,0,26.752503988182006,106.50182856850947,127.9024246924549,5.287806006757597
2019-02-08,0,0,0,0,0,20.092791190088292,88.85092348961655,140.3299607909639,6.625221361286985
2019-02-09,0,1,0,0,0,22.014106646192204,106.56734317765431,116.23832983582065,6.051676629003356
2019-02-10,0,1,0,0,0,44.356913733648454,112.52889350799147,127.58580164481775,10.419884101999202
2019-02-11,0,0,0,0,0,39.41945303013256,101.78786219511387,139.4301590856774,4.526888799702531
2019-02-12,0,0,0,0,0,31.377987601923305,89.06445357960193,130.27924442679475,7.784875408152455
2019-02-13,0,0,0,0,0,29.156555757945036,93.38105792716486,122.46030114709592,10.514142683062332
2019-02-14,0,0,0,0,0,58.7564007834895,104.35932246774702,143.09813335192123,8.549165631644906
2019-02-15,0,0,0,0,0,91.32822341522916,102.9833193303353,118.28585607906011,4.751446592951679
2019-02-16,0,0,1,0,0,49.67252956779652,118.1839008667812,129.7957325775299,3.9153396048212983
2019-02-17,0,0,0,0,0,47.71007599877694,95.86134681396953,136.40170710882646,7.548802410104715
2019-02-18,0,0,0,0,0,21.953399218598914,85.54359102436725,150.95690329960365,7.301046411137392
2019-02-19,0,0,0,0,0,43.30790564627877,138.65581494355047,125.41644407254294,9.464818194493361
2019-02-20,0,0,0,0,0,85.71009021828107,102.61732299231605,127.23548746340164,8.096895697368852
2019-02-21,0,0,0,0,0,81.12383310526917,112.51394136834305,125.55308866649526,6.03032015166227
2019-02-22,0,0,0,0,0,79.03921232823006,107.8277255803882,132.38470158914546,5.8945705427841695
2019-02-23,0,0,0,0,0,78.07606487659528,102.79861657841334,135.87928267997864,4.3876845990420925
2019-02-24,0,0,0,0,0,63.10197666694505,96.58384403885249,140.9331337866832,7.2587286765595
2019-02-25,0,0,0,0,0,62.03621490448987,57.9427644496312,137.5604777598081,4.191103498333473
2019-02-26,0,0,0,0,1,57.34250980054321,84.05168138803269,125.02625850349712,8.819980695189049
2019-02-27,0,0,0,0,0,37.493441598424575,104.93678820125942,138.13371022629423,8.178310422437729
2019-02-28,0,0,0,0,0,52.51098195846528,59.21540142989657,130.9154564404473,8.114912000945349
2019-03-01,0,0,1,0,0,56.467990511176005,101.0742758906542,137.45252228818205,4.356345776504416
2019-03-02,0,0,0,0,0,68.99505809948155,109.91845766296485,138.0236743289588,6.700073197779727
2019-03-03,0,0,0,0,0,53.007694611354786,112.49917925655149,146.30125746009827,6.221388758492859
2019-03-04,0,0,0,0,0,113.15484142917254,108.97232871197059,126.45409367497018,7.205612768918852
2019-03-05,0,0,0,0,0,13.705634088262642,114.3758792742567,124.54447397263112,8.057025761611898
2019-03-06,0,1,1,0,0,72.63427099312099,124.08417074862815,134.4716341308572,5.972805899129315
2019-03-07,0,0,0,0,0,48.76268880082839,116.44176903113777,141.82516917670313,6.048032951349554
2019-03-08,0,0,0,0,0,50.06438846379626,102.95247098352895,130.58063830024435,8.359855673070637
2019-03-09,0,0,0,0,0,25.62272653067576,97.98070217840872,142.47712291859818,4.741000074433669
2019-03-10,0,0,0,0,0,80.58029801746055,101.71956811829037,136.90058339808667,5.506677127158607
2019-03-11,1,0,0,0,0,69.58524602963472,95.86752772487921,127.9878452210791,7.0116736640680815
2019-03-12,0,0,0,0,0,75.00912190411076,116.76371098368438,135.63335503058906,8.799440746059068
